spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
59NraMJsLaMCVtwXTSia8i,Prada,"cassö, RAYE, D-Block Europe",5,0,-2,IE,2024-02-14,94,True,132359,Prada,2023-08-11,0.638,0.717,8,-5.804,1,0.0375,0.001,1.79e-06,0.113,0.422,141.904,4
4m4BHvDfzIgj5LbQLuFiIp,CARNIVAL,"Kanye West, Ty Dolla $ign",6,0,44,IE,2024-02-14,82,True,264324,VULTURES 1,2024-02-09,0.596,0.81,1,-5.745,1,0.152,0.192,0.0,0.338,0.29,148.241,4
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,7,-3,-2,IE,2024-02-14,93,False,210688,I've Tried Everything But Therapy (Part 1),2023-09-15,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,3
3U5JVgI2x4rDyHGObzJfNf,Unwritten,Natasha Bedingfield,8,-1,-4,IE,2024-02-14,93,False,259333,Unwritten,2004-08-30,0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011,4
3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,9,-1,-3,IE,2024-02-14,100,True,131872,greedy,2023-09-15,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,1
3Pbp7cUCx4d3OAkZSCoNvn,Scared To Start,Michael Marcagi,10,0,-2,IE,2024-02-14,88,False,159636,Scared To Start,2024-01-12,0.527,0.551,7,-11.258,1,0.0345,0.384,2.75e-06,0.403,0.443,148.035,4
4xhsWYTOGcal8zt0J161CU,Lovin On Me,Jack Harlow,11,0,-1,IE,2024-02-14,99,True,138411,Lovin On Me,2023-11-10,0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,4
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",12,-3,-3,IE,2024-02-14,94,False,227195,Zach Bryan,2023-08-25,0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,4
3h5TiWTqGxjSjFrbruPFH9,Praise Jah In The Moonlight,YG Marley,13,3,0,IE,2024-02-14,91,True,263040,Praise Jah In The Moonlight,2023-12-27,0.66,0.727,6,-4.028,0,0.0441,0.128,1.31e-05,0.524,0.418,125.023,4
0Tgm7wkLb0AfAHAZDschvD,BACK TO ME,"Kanye West, Ty Dolla $ign",14,-2,36,IE,2024-02-14,80,True,295471,VULTURES 1,2024-02-09,0.815,0.788,1,-7.216,1,0.0884,0.00104,0.0,0.0613,0.336,95.66,4
4E3XDKil4ElJt6sXuz5cc6,BURN,"Kanye West, Ty Dolla $ign",15,0,35,IE,2024-02-14,80,True,111458,VULTURES 1,2024-02-09,0.594,0.885,4,-6.21,0,0.394,0.0158,6.29e-06,0.856,0.735,105.017,4
50SxWFCvmZCYcpKWPZECES,Birds In The Sky,NewEra,16,6,3,IE,2024-02-14,68,False,133548,Birds In The Sky,2023-12-08,0.636,0.716,2,-5.615,0,0.0325,0.0316,0.0837,0.343,0.393,123.97,4
0FlwhvrncUKrEAhzunmCKm,Forever,Noah Kahan,17,1,33,IE,2024-02-14,79,False,268353,Stick Season (Forever),2024-02-09,0.395,0.254,0,-10.855,1,0.037,0.723,0.0,0.122,0.235,94.78,4
7gaA3wERFkFkgivjwbSvkG,"yes, and?",Ariana Grande,18,5,-6,IE,2024-02-14,97,True,214994,"yes, and?",2024-01-12,0.788,0.758,1,-6.513,1,0.0505,0.198,8.5e-05,0.104,0.823,119.008,4
4OMJGnvZfDvsePyCwRGO7X,Houdini,Dua Lipa,19,2,-5,IE,2024-02-14,95,False,185917,Houdini,2023-11-09,0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985,4
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,20,-7,-9,IE,2024-02-14,99,False,178426,Lover,2019-08-23,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,4
5rlXuCLnMdfo85079qXHoz,FUK SUMN,"Kanye West, Ty Dolla $ign",21,-4,29,IE,2024-02-14,80,True,209577,VULTURES 1,2024-02-09,0.775,0.817,4,-2.825,0,0.147,0.132,0.0,0.053,0.463,142.092,4
